timestamp,takim_numarasi,iha_enlem,iha_boylam,iha_irtifa,iha_dikilme,iha_yonelme,iha_yatis,zaman_farki
11:32:0,15,41.51342,36.1185379,-4.75,-3.0,-166.0,0.0,255.0
11:32:1,15,41.51342,36.1185379,-4.74,-3.0,-166.0,0.0,758.0
11:32:2,15,41.5134163,36.1185379,-4.7,-3.0,-166.0,0.0,334.0
11:32:3,15,41.5134163,36.1185379,-4.67,-3.0,-166.0,0.0,669.0
11:32:4,15,41.5134163,36.1185379,-4.7,-3.0,-166.0,0.0,236.0
11:32:5,15,41.5134163,36.1185379,-4.72,-3.0,-166.0,0.0,657.0
11:32:6,15,41.5134163,36.1185379,-4.72,-3.0,-166.0,0.0,430.0
11:32:7,15,41.5134163,36.1185379,-4.71,-3.0,-166.0,0.0,558.0
11:32:8,15,41.5134163,36.1185379,-4.7,-3.0,-166.0,0.0,1030.0
11:32:9,15,41.5134163,36.1185379,-4.67,-3.0,-166.0,0.0,741.0
11:32:9,15,41.5134163,36.1185379,-4.69,-3.0,-167.0,0.0,299.0
11:32:10,15,41.5134163,36.1185379,-4.67,-3.0,-166.0,0.0,617.0
11:32:11,15,41.5134163,36.1185379,-4.66,-3.0,-166.0,0.0,443.0
11:32:12,15,41.5134163,36.1185379,-4.65,-3.0,-167.0,0.0,761.0
11:32:13,15,41.5134163,36.1185379,-4.65,-3.0,-167.0,0.0,414.0
11:32:14,15,41.51342,36.1185379,-4.64,-3.0,-167.0,0.0,660.0
11:32:15,15,41.51342,36.1185379,-4.67,-3.0,-167.0,0.0,262.0
11:32:16,15,41.51342,36.1185379,-4.68,-3.0,-167.0,0.0,418.0
11:32:17,15,41.51342,36.1185379,-4.72,-3.0,-167.0,0.0,353.0
11:32:18,15,41.51342,36.1185379,-4.72,-3.0,-167.0,0.0,626.0
11:32:19,15,41.51342,36.1185379,-4.71,-3.0,-167.0,0.0,424.0
11:32:20,15,41.51342,36.1185379,-4.67,-3.0,-167.0,0.0,597.0
11:32:21,15,41.51342,36.1185379,-4.66,-3.0,-167.0,0.0,873.0
11:32:22,15,41.51342,36.1185379,-4.64,-3.0,-167.0,0.0,284.0
11:32:23,15,41.51342,36.1185379,-4.65,-3.0,-167.0,0.0,501.0
11:32:24,15,41.51342,36.11854,-4.66,-3.0,-167.0,0.0,771.0
11:32:25,15,41.51342,36.11854,-4.67,-3.0,-167.0,0.0,472.0
11:32:26,15,41.51342,36.11854,-4.68,-3.0,-167.0,0.0,311.0
11:32:27,15,41.51342,36.11854,-4.71,-3.0,-167.0,0.0,314.0
11:32:28,15,41.51342,36.11854,-4.72,-3.0,-167.0,0.0,297.0
11:32:29,15,41.51342,36.1185379,-4.73,-3.0,-167.0,0.0,291.0
11:32:30,15,41.51342,36.1185379,-4.72,-3.0,-167.0,0.0,765.0
11:32:31,15,41.51342,36.1185379,-4.72,-3.0,-167.0,0.0,501.0
11:32:31,15,41.51342,36.1185379,-4.73,-3.0,-167.0,0.0,214.0
11:32:33,15,41.51342,36.1185379,-4.74,-3.0,-167.0,0.0,606.0
11:32:33,15,41.51342,36.1185379,-4.75,-3.0,-167.0,0.0,840.0
11:32:34,15,41.51342,36.1185341,-4.75,-3.0,-167.0,0.0,639.0
11:32:35,15,41.5134163,36.1185341,-4.74,-3.0,-167.0,0.0,852.0
11:32:36,15,41.5134163,36.1185341,-4.76,-3.0,-167.0,0.0,582.0
11:32:37,15,41.51342,36.1185341,-4.77,-3.0,-167.0,0.0,653.0
11:32:38,15,41.51342,36.1185341,-4.8,-3.0,-167.0,0.0,850.0
11:32:39,15,41.51342,36.1185341,-4.83,-3.0,-167.0,0.0,364.0
11:32:40,15,41.5134163,36.1185341,-4.84,-3.0,-167.0,0.0,270.0
