timestamp,takim_numarasi,iha_enlem,iha_boylam,iha_irtifa,iha_dikilme,iha_yonelme,iha_yatis,zaman_farki
11:32:4,9,41.5133667,36.1190071,0.0,0.0,18.0,1.0,53924.0
11:32:5,9,41.51334,36.11899,0.0,0.0,18.0,2.0,1826.0
11:32:6,9,41.51334,36.1189957,0.0,0.0,18.0,2.0,1697.0
11:32:7,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,1693.0
11:32:8,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,2654.0
11:32:9,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,3496.0
11:32:9,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,4431.0
11:32:10,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,5364.0
11:32:11,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,6287.0
11:32:12,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,7307.0
11:32:13,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,8222.0
11:32:14,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,9152.0
11:32:15,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,10074.0
11:32:16,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,10999.0
11:32:17,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,11936.0
11:32:18,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,12864.0
11:32:19,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,13888.0
11:32:20,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,15221.0
11:32:21,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,16145.0
11:32:22,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,17071.0
11:32:23,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,17986.0
11:32:24,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,18902.0
11:32:25,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,19932.0
11:32:26,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,20857.0
11:32:27,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,21776.0
11:32:28,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,22706.0
11:32:29,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,23638.0
11:32:30,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,24671.0
11:32:31,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,25602.0
11:32:31,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,26440.0
11:32:33,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,27476.0
11:32:33,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,28403.0
11:32:34,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,29422.0
11:32:35,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,30239.0
11:32:36,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,31170.0
11:32:37,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,32197.0
11:32:38,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,33113.0
11:32:39,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,34030.0
11:32:40,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,35053.0
11:32:41,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,35871.0
11:32:42,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,36893.0
11:32:43,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,37822.0
11:32:44,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,38772.0
11:32:45,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,39690.0
11:32:46,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,40614.0
11:32:47,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,41546.0
11:32:47,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,42465.0
11:32:48,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,43383.0
11:32:49,9,41.51334,36.1189957,0.0,0.0,19.0,2.0,2268.0
11:32:50,9,41.5133438,36.119,0.0,0.0,19.0,2.0,1301.0
11:32:51,9,41.5133438,36.119,0.0,0.0,19.0,2.0,2347.0
11:32:52,9,41.5133438,36.1189957,0.0,0.0,19.0,2.0,2279.0
11:32:53,9,41.5133438,36.11899,0.0,0.0,20.0,2.0,2201.0
11:32:54,9,41.5133438,36.11899,0.0,0.0,20.0,2.0,2125.0
11:32:55,9,41.5133438,36.11899,0.0,0.0,21.0,2.0,2047.0
11:32:56,9,41.5133476,36.11899,0.0,0.0,21.0,2.0,1978.0
11:32:57,9,41.5133476,36.11899,0.0,0.0,22.0,2.0,1911.0
11:32:58,9,41.5133476,36.11899,0.0,0.0,22.0,3.0,1843.0
11:32:59,9,41.51335,36.11899,0.0,0.0,22.0,3.0,1856.0
11:33:0,9,41.51335,36.11899,0.0,0.0,23.0,2.0,1777.0
11:33:1,9,41.51335,36.1189957,0.0,0.0,23.0,2.0,1694.0
11:33:2,9,41.51335,36.1189957,0.0,0.0,23.0,3.0,1615.0
11:33:3,9,41.51335,36.1189957,0.0,0.0,24.0,3.0,1538.0
11:33:4,9,41.51335,36.119,0.0,0.0,24.0,2.0,1558.0
11:33:5,9,41.51335,36.119,0.0,0.0,24.0,2.0,2471.0
11:33:5,9,41.51335,36.119,0.0,0.0,25.0,2.0,1391.0
11:33:6,9,41.51335,36.119,0.0,0.0,26.0,3.0,1314.0
11:33:7,9,41.51335,36.119,0.0,0.0,26.0,3.0,2235.0
11:33:8,9,41.5133476,36.119,0.0,0.0,26.0,2.0,1258.0
11:33:9,9,41.5133476,36.119,0.0,0.0,27.0,2.0,1177.0
11:33:10,9,41.5133476,36.119,0.0,0.0,27.0,2.0,2095.0
11:33:11,9,41.51335,36.119,0.0,0.0,27.0,2.0,2013.0
11:33:12,9,41.51335,36.119,0.0,0.0,28.0,2.0,2031.0
11:33:13,9,41.51335,36.1190033,0.0,0.0,28.0,2.0,1948.0
11:33:14,9,41.51335,36.1190033,0.0,0.0,28.0,2.0,1876.0
11:33:15,9,41.51335,36.1190071,0.0,0.0,28.0,2.0,1809.0
11:33:16,9,41.51335,36.1190033,0.0,0.0,29.0,2.0,1759.0
11:33:17,9,41.51335,36.1190033,0.0,0.0,29.0,2.0,1679.0
11:33:18,9,41.51335,36.1190071,0.0,0.0,29.0,2.0,1598.0
11:33:19,9,41.51335,36.1190071,0.0,0.0,30.0,2.0,1521.0
11:33:20,9,41.51335,36.1190071,0.0,0.0,30.0,3.0,1442.0
11:33:21,9,41.51335,36.1190071,0.0,0.0,30.0,3.0,2471.0
11:33:21,9,41.51335,36.1190071,0.0,0.0,30.0,2.0,1391.0
11:33:22,9,41.51335,36.1190071,0.0,0.0,30.0,2.0,1313.0
11:33:23,9,41.51335,36.1190071,0.0,0.0,30.0,2.0,2230.0
11:33:24,9,41.51335,36.1190071,0.0,0.0,31.0,2.0,2144.0
11:33:25,9,41.5133553,36.1190071,0.0,0.0,31.0,2.0,1159.0
11:33:26,9,41.5133553,36.1190071,0.0,0.0,31.0,2.0,2076.0
11:33:27,9,41.5133553,36.1190071,0.0,0.0,31.0,2.0,1992.0
11:33:28,9,41.5133553,36.1190071,0.0,0.0,31.0,2.0,1908.0
11:33:29,9,41.51335,36.1190071,0.0,0.0,32.0,2.0,1924.0
11:33:30,9,41.5133476,36.1190071,0.0,0.0,32.0,3.0,1842.0
11:33:31,9,41.5133476,36.1190071,0.0,0.0,32.0,2.0,1768.0
11:33:32,9,41.5133476,36.1190071,0.0,0.0,32.0,2.0,1705.0
11:33:33,9,41.5133476,36.1190033,0.0,0.0,32.0,2.0,1632.0
11:33:34,9,41.5133476,36.1190033,0.0,0.0,33.0,2.0,1551.0
11:33:35,9,41.5133476,36.1190033,0.0,0.0,33.0,2.0,1579.0
11:33:36,9,41.5133476,36.1190033,0.0,0.0,33.0,2.0,1496.0
11:33:37,9,41.5133476,36.1190071,0.0,0.0,33.0,2.0,1409.0
11:33:38,9,41.5133476,36.1190033,0.0,0.0,33.0,2.0,1429.0
11:33:38,9,41.5133476,36.1190033,0.0,0.0,33.0,2.0,2352.0
11:33:39,9,41.51335,36.1190033,0.0,0.0,33.0,3.0,1275.0
11:33:40,9,41.51335,36.1190033,0.0,0.0,33.0,3.0,2209.0
11:33:41,9,41.51335,36.1190033,0.0,0.0,34.0,2.0,2132.0
11:33:42,9,41.5133476,36.1190071,0.0,0.0,34.0,2.0,2062.0
11:33:43,9,41.5133476,36.1190071,0.0,0.0,34.0,2.0,1983.0
11:33:44,9,41.5133476,36.1190033,0.0,0.0,34.0,2.0,2038.0
11:33:45,9,41.5133476,36.1190033,0.0,0.0,34.0,2.0,1968.0
11:33:46,9,41.51335,36.1190071,0.0,0.0,34.0,2.0,1892.0
11:33:47,9,41.51335,36.1190071,0.0,0.0,34.0,2.0,1815.0
11:33:48,9,41.51335,36.1190071,0.0,0.0,34.0,2.0,1737.0
11:33:49,9,41.5133476,36.1190071,0.0,0.0,34.0,2.0,1654.0
11:33:50,9,41.5133476,36.1190071,0.0,0.0,34.0,2.0,1570.0
11:33:51,9,41.5133476,36.1190071,0.0,0.0,34.0,2.0,1587.0
11:33:52,9,41.5133476,36.1190071,0.0,0.0,34.0,2.0,1523.0
11:33:53,9,41.5133476,36.1190071,0.0,0.0,34.0,3.0,1442.0
11:33:53,9,41.5133438,36.1190071,0.0,0.0,34.0,2.0,1367.0
11:33:54,9,41.5133438,36.1190071,0.0,0.0,34.0,2.0,2287.0
11:33:55,9,41.5133476,36.1190071,0.0,0.0,34.0,2.0,1206.0
11:33:56,9,41.5133476,36.1190071,0.0,0.0,34.0,2.0,2227.0
11:33:57,9,41.5133438,36.1190071,0.0,0.0,34.0,2.0,2144.0
11:33:58,9,41.5133438,36.1190071,0.0,0.0,34.0,2.0,2060.0
11:33:59,9,41.51334,36.1190071,0.0,0.0,34.0,2.0,1983.0
11:34:0,9,41.5133324,36.1190071,0.0,0.0,34.0,2.0,1901.0
11:34:1,9,41.5133324,36.11901,0.0,0.0,34.0,2.0,1919.0
11:34:2,9,41.5133362,36.11901,0.0,0.0,34.0,2.0,1842.0
11:34:3,9,41.5133362,36.11901,0.0,0.0,34.0,2.0,1787.0
11:34:4,9,41.5133362,36.1190147,0.0,0.0,34.0,2.0,1706.0
11:34:5,9,41.51334,36.1190147,0.0,0.0,34.0,2.0,1635.0
11:34:6,9,41.51334,36.1190147,0.0,0.0,34.0,2.0,1562.0
11:34:7,9,41.5133438,36.11902,0.0,0.0,34.0,2.0,1595.0
11:34:8,9,41.5133438,36.1190147,0.0,0.0,34.0,2.0,1522.0
11:34:9,9,41.5133438,36.1190147,0.0,0.0,34.0,2.0,1447.0
11:34:10,9,41.5133476,36.1190147,0.0,0.0,34.0,2.0,1370.0
11:34:10,9,41.5133476,36.1190147,0.0,0.0,35.0,2.0,1298.0
11:34:11,9,41.5133476,36.11901,0.0,0.0,35.0,2.0,1219.0
11:34:12,9,41.5133476,36.11901,0.0,0.0,35.0,2.0,2250.0
11:34:13,9,41.5133476,36.1190071,0.0,0.0,35.0,2.0,1164.0
11:34:14,9,41.5133476,36.1190071,0.0,0.0,35.0,2.0,2194.0
11:34:15,9,41.5133476,36.1190071,0.0,0.0,35.0,2.0,2010.0
11:34:16,9,41.51335,36.1190071,0.0,0.0,35.0,2.0,1930.0
11:34:17,9,41.51335,36.1190033,0.0,0.0,35.0,2.0,1956.0
11:34:18,9,41.51335,36.1190033,0.0,0.0,35.0,2.0,1874.0
11:34:19,9,41.51335,36.1190071,0.0,0.0,34.0,2.0,1788.0
11:34:20,9,41.51335,36.1190071,0.0,0.0,35.0,2.0,1820.0
11:34:21,9,41.51335,36.1190071,0.0,0.0,35.0,2.0,1748.0
11:34:22,9,41.51335,36.1190033,0.0,0.0,35.0,2.0,1680.0
11:34:23,9,41.51335,36.1190033,0.0,0.0,35.0,2.0,1594.0
11:34:24,9,41.51335,36.1190071,0.0,0.0,35.0,2.0,1512.0
11:34:25,9,41.5133476,36.1190071,0.0,0.0,35.0,2.0,1431.0
11:34:26,9,41.5133476,36.1190071,0.0,0.0,35.0,2.0,1455.0
11:34:27,9,41.5133476,36.1190071,0.0,0.0,35.0,2.0,1380.0
11:34:27,9,41.5133476,36.1190071,0.0,0.0,35.0,2.0,1314.0
11:34:28,9,41.5133476,36.1190071,0.0,0.0,35.0,2.0,2239.0
11:34:29,9,41.5133438,36.1190071,0.0,0.0,35.0,2.0,2161.0
11:34:30,9,41.5133476,36.1190071,0.0,0.0,34.0,2.0,1195.0
11:34:31,9,41.5133476,36.1190071,0.0,0.0,34.0,2.0,2118.0
11:34:32,9,41.5133476,36.1190071,0.0,0.0,34.0,2.0,2046.0
11:34:33,9,41.5133476,36.1190071,0.0,0.0,35.0,2.0,1969.0
11:34:34,9,41.5133476,36.1190071,0.0,0.0,35.0,2.0,1991.0
11:34:35,9,41.51335,36.1190071,0.0,0.0,35.0,2.0,1908.0
11:34:36,9,41.51335,36.1190071,0.0,0.0,35.0,2.0,1827.0
11:34:37,9,41.51335,36.1190071,0.0,0.0,35.0,2.0,1856.0
11:34:38,9,41.51335,36.1190071,0.0,0.0,34.0,2.0,1778.0
11:34:39,9,41.51335,36.1190071,0.0,0.0,34.0,2.0,1713.0
11:34:40,9,41.51335,36.1190071,0.0,0.0,34.0,2.0,1642.0
11:34:41,9,41.51335,36.1190071,0.0,0.0,34.0,2.0,1567.0
